status,start_time_main,version,notes,pc_name,threads,dataset,print_out_data,y_classes,x_features,n-train,n-test,seed_val,m_time,m_console,alpha,beta,beta_dict,score_threshold,msub_time,msub_console,c_time,count_miss,cb,max_itr,ibudget,adv_idx_ls,glo_cut_v0,glo_cut_v1,glo_cut_v2,wbudget,mst_train_acc,mst_test_acc,adv_train_acc,adv_test_acc,mst_idx_example_ls,mst_idx_example_count,adv_idx_example_ls,adv_idx_example_count,time_s,record_folder
completed,2022-10-09_18-53-27,1.1,x-added record arguement,Elderax,10,phishing,1,3,23,947,406,,20,1,2,5,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",1,5,0,0,0,0,1,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FALSE,TRUE,FALSE,5,80.89,79.31,77.61,77.34,,,,,11,
completed,2022-10-09_18-54-06,1.1,,Elderax,10,phishing,1,3,23,947,406,,20,0,4,5,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",1,5,0,0,0,0,1,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FALSE,TRUE,FALSE,5,68.11,70.94,61.88,62.56,,,,,11,
completed,2022-10-09_18-54-19,1.1,,Elderax,10,phishing,1,3,23,947,406,,20,0,2,5,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",1,5,0,0,0,0,1,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FALSE,TRUE,FALSE,5,80.89,79.31,77.61,77.34,,,,,11,
completed,2022-10-09_18-54-31,1.1,,Elderax,10,phishing,1,3,23,947,406,,20,0,2,5,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",1,5,0,0,0,0,1,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",FALSE,TRUE,FALSE,8,80.89,79.31,77.61,77.34,,,,,11,
completed,2022-10-09_18-55-23,1.1,,Elderax,10,phishing,1,3,23,947,406,,20,0,2,5,{0: 50},1,5,0,0,0,0,1,2,[0],FALSE,TRUE,FALSE,5,77.61,77.34,77.61,77.34,,,,,11,
completed,2022-10-09_18-55-35,1.1,,Elderax,10,phishing,1,3,23,947,406,,20,0,2,5,"{0: 50, 1: 50}",1,5,0,0,0,0,1,2,"[0, 1]",FALSE,TRUE,FALSE,5,77.61,77.34,77.61,77.34,,,,,11,
completed,2022-10-09_18-55-51,1.1,,Elderax,10,phishing,1,3,23,947,406,,20,0,2,5,"{0: 50, 1: 50, 2: 50}",1,5,0,0,0,0,1,2,"[0, 1, 2]",FALSE,TRUE,FALSE,5,77.61,77.34,77.61,77.34,,,,,11,
completed,2022-10-09_18-56-04,1.1,,Elderax,10,phishing,1,3,23,947,406,,20,0,2,5,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50}",1,5,0,0,0,0,1,2,"[0, 1, 2, 3, 4]",FALSE,TRUE,FALSE,5,80.89,79.31,77.61,77.34,,,,,11,
completed,2022-10-09_18-56-16,1.1,,Elderax,10,phishing,1,3,23,947,406,,20,0,2,5,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50}",1,5,0,0,0,0,1,2,"[0, 1, 2, 3, 4, 5, 6]",FALSE,TRUE,FALSE,5,80.89,79.31,77.61,77.34,,,,,11,
completed,2022-10-09_18-56-28,1.1,,Elderax,10,phishing,1,3,23,947,406,,20,0,2,5,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50, 10: 50, 11: 50, 12: 50, 13: 50, 14: 50, 15: 50, 16: 50, 17: 50, 18: 50, 19: 50}",1,5,0,0,0,0,1,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",FALSE,TRUE,FALSE,5,79.62,78.33,77.61,77.34,,,,,12,
