21:16:06.39 | INFO | Lazy Con: OFF
21:16:06.40 | INFO | Optimised - caller: model_optimize
21:16:06.56 | INFO | Lazy Con: OFF
21:16:06.57 | INFO | Optimised - caller: model_optimize
21:16:06.62 | INFO | Lazy Con: OFF
21:16:06.63 | INFO | Optimised - caller: adv_train
21:16:06.64 | INFO | Lazy Con: OFF
21:16:06.66 | INFO | Optimised - caller: adv_train
21:16:06.67 | INFO | Lazy Con: OFF
21:16:06.68 | INFO | Optimised - caller: adv_train
21:16:06.69 | INFO | Lazy Con: OFF
21:16:06.70 | INFO | Optimised - caller: adv_train
21:16:06.71 | INFO | Lazy Con: OFF
21:16:06.72 | INFO | Optimised - caller: adv_train
21:16:06.74 | INFO | Lazy Con: OFF
21:16:06.75 | INFO | Optimised - caller: adv_train
21:16:06.76 | INFO | Lazy Con: OFF
21:16:06.79 | INFO | Optimised - caller: adv_train
21:16:06.80 | INFO | Lazy Con: OFF
21:16:06.84 | INFO | Optimised - caller: adv_train
21:16:06.85 | INFO | Lazy Con: OFF
21:16:06.89 | INFO | Optimised - caller: adv_train
21:16:06.90 | INFO | Lazy Con: OFF
21:16:06.96 | INFO | Optimised - caller: adv_train
21:16:06.97 | INFO | Lazy Con: OFF
21:16:07.01 | INFO | Optimised - caller: adv_train
21:16:07.03 | INFO | Lazy Con: OFF
21:16:07.07 | INFO | Optimised - caller: adv_train
21:16:07.08 | INFO | Lazy Con: OFF
21:16:07.13 | INFO | Optimised - caller: adv_train
21:16:07.15 | INFO | Lazy Con: OFF
21:16:07.22 | INFO | Optimised - caller: adv_train
21:16:07.24 | INFO | Lazy Con: OFF
21:16:07.31 | INFO | Optimised - caller: adv_train
21:16:07.33 | INFO | Lazy Con: OFF
21:16:07.40 | INFO | Optimised - caller: adv_train
21:16:07.42 | INFO | Lazy Con: OFF
21:16:07.50 | INFO | Optimised - caller: adv_train
21:16:07.52 | INFO | Lazy Con: OFF
21:16:07.60 | INFO | Optimised - caller: adv_train
21:16:07.62 | INFO | Lazy Con: OFF
21:16:07.71 | INFO | Optimised - caller: adv_train
21:16:07.73 | INFO | Lazy Con: OFF
21:16:07.82 | INFO | Optimised - caller: adv_train
21:16:07.83 | INFO | Lazy Con: OFF
21:16:07.88 | INFO | Optimised - caller: adv_train
21:16:07.89 | INFO | Lazy Con: OFF
21:16:07.97 | INFO | Optimised - caller: adv_train
21:16:07.98 | INFO | Lazy Con: OFF
21:16:08.05 | INFO | Optimised - caller: adv_train
21:16:08.06 | INFO | Lazy Con: OFF
21:16:08.17 | INFO | Optimised - caller: adv_train
21:16:08.19 | INFO | Lazy Con: OFF
21:16:08.27 | INFO | Optimised - caller: adv_train
21:16:08.29 | INFO | Lazy Con: OFF
21:16:08.40 | INFO | Optimised - caller: adv_train
21:16:08.42 | INFO | Lazy Con: OFF
21:16:08.51 | INFO | Optimised - caller: adv_train
21:16:08.53 | INFO | Lazy Con: OFF
21:16:08.60 | INFO | Optimised - caller: adv_train
21:16:08.62 | INFO | Lazy Con: OFF
21:16:08.71 | INFO | Optimised - caller: adv_train
21:16:08.73 | INFO | Lazy Con: OFF
21:16:08.82 | INFO | Optimised - caller: adv_train
21:16:08.83 | INFO | Lazy Con: OFF
21:16:08.92 | INFO | Optimised - caller: adv_train
21:16:08.94 | INFO | Lazy Con: OFF
21:16:09.03 | INFO | Optimised - caller: adv_train
21:16:09.05 | INFO | Lazy Con: OFF
21:16:09.09 | INFO | Optimised - caller: adv_train
21:16:09.11 | INFO | Lazy Con: OFF
21:16:09.25 | INFO | Optimised - caller: adv_train
21:16:09.27 | INFO | Lazy Con: OFF
21:16:09.36 | INFO | Optimised - caller: adv_train
21:16:09.37 | INFO | Lazy Con: OFF
21:16:09.48 | INFO | Optimised - caller: adv_train
21:16:09.49 | INFO | Lazy Con: OFF
21:16:09.62 | INFO | Optimised - caller: adv_train
21:16:09.64 | INFO | Lazy Con: OFF
21:16:09.76 | INFO | Optimised - caller: adv_train
21:16:09.77 | INFO | Lazy Con: OFF
