22:26:08.32 | INFO | 
--- Mst Train ---
22:26:08.37 | INFO | instance_num1: 0 | label: 1 | pred: 1 | correct: True | pred score: 20.0 | gen adv example: True | pred score idx: {0: 16.0, 1: 20.0, 2: 20.0}
22:26:08.37 | INFO | instance_num1: 1 | label: 1 | pred: 1 | correct: True | pred score: 20.0 | gen adv example: True | pred score idx: {0: 14.0, 1: 20.0, 2: 20.0}
22:26:08.38 | INFO | instance_num1: 2 | label: 1 | pred: 1 | correct: True | pred score: 22.0 | gen adv example: True | pred score idx: {0: 18.0, 1: 22.0, 2: 18.0}
22:26:08.38 | INFO | instance_num1: 3 | label: 1 | pred: 1 | correct: True | pred score: 23.0 | gen adv example: False | pred score idx: {0: 17.0, 1: 23.0, 2: 16.0}
22:26:08.39 | INFO | instance_num1: 4 | label: 2 | pred: 2 | correct: True | pred score: 24.0 | gen adv example: False | pred score idx: {0: 17.0, 1: 16.0, 2: 24.0}
22:26:08.40 | INFO | instance_num1: 5 | label: 0 | pred: 0 | correct: True | pred score: 20.0 | gen adv example: True | pred score idx: {0: 20.0, 1: 20.0, 2: 20.0}
22:26:08.40 | INFO | instance_num1: 6 | label: 2 | pred: 1 | correct: False | pred score: 20.0 | gen adv example: False | pred score idx: {0: 16.0, 1: 20.0, 2: 20.0}
22:26:08.40 | INFO | instance_num1: 7 | label: 1 | pred: 1 | correct: True | pred score: 22.0 | gen adv example: True | pred score idx: {0: 19.0, 1: 22.0, 2: 18.0}
22:26:08.41 | INFO | instance_num1: 8 | label: 0 | pred: 0 | correct: True | pred score: 20.0 | gen adv example: True | pred score idx: {0: 20.0, 1: 20.0, 2: 20.0}
22:26:08.42 | INFO | instance_num1: 9 | label: 1 | pred: 1 | correct: True | pred score: 22.0 | gen adv example: False | pred score idx: {0: 16.0, 1: 22.0, 2: 18.0}
22:47:48.82 | INFO | 
--- Adv Train ---
22:47:48.87 | INFO | instance_num1: 0 | label: 1 | pred: 1 | correct: True | pred score: 20.0 | gen adv example: True | pred score idx: {0: 15.0, 1: 20.0, 2: 20.0}
22:47:48.88 | INFO | instance_num1: 1 | label: 1 | pred: 1 | correct: True | pred score: 20.0 | gen adv example: True | pred score idx: {0: 13.0, 1: 20.0, 2: 20.0}
22:47:48.89 | INFO | instance_num1: 2 | label: 1 | pred: 1 | correct: True | pred score: 22.0 | gen adv example: False | pred score idx: {0: 17.0, 1: 22.0, 2: 18.0}
22:47:48.90 | INFO | instance_num1: 3 | label: 1 | pred: 1 | correct: True | pred score: 23.0 | gen adv example: False | pred score idx: {0: 16.0, 1: 23.0, 2: 16.0}
22:47:48.90 | INFO | instance_num1: 4 | label: 2 | pred: 2 | correct: True | pred score: 24.0 | gen adv example: False | pred score idx: {0: 16.0, 1: 16.0, 2: 24.0}
22:47:48.90 | INFO | instance_num1: 5 | label: 0 | pred: 1 | correct: False | pred score: 20.0 | gen adv example: False | pred score idx: {0: 19.0, 1: 20.0, 2: 20.0}
22:47:48.91 | INFO | instance_num1: 6 | label: 2 | pred: 1 | correct: False | pred score: 20.0 | gen adv example: False | pred score idx: {0: 15.0, 1: 20.0, 2: 20.0}
22:47:48.92 | INFO | instance_num1: 7 | label: 1 | pred: 1 | correct: True | pred score: 22.0 | gen adv example: True | pred score idx: {0: 18.0, 1: 22.0, 2: 18.0}
22:47:48.92 | INFO | instance_num1: 8 | label: 0 | pred: 1 | correct: False | pred score: 20.0 | gen adv example: False | pred score idx: {0: 19.0, 1: 20.0, 2: 20.0}
22:47:48.93 | INFO | instance_num1: 9 | label: 1 | pred: 1 | correct: True | pred score: 22.0 | gen adv example: False | pred score idx: {0: 15.0, 1: 22.0, 2: 18.0}
